Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
4,0,31,0,22,0,15,3,1,1,30,126.68,0,52.416666666666664
0,1,24,0,7,16,1,4,1,2,45,59.3,1,12.75
14,0,41,2,75,17,35,2,1,1,25,233.235,0,56.8
9,0,41,2,77,118,41,2,1,1,25,840.375,0,113.3
9,0,12,0,127,67,35,1,2,1,15,700.425,0,98.46666666666667
0,0,38,0,0,4,0,2,1,2,25,18.0,1,0.0
6,0,32,0,44,37,21,3,1,2,30,228.56,0,32.833333333333336
0,0,29,0,70,0,25,2,1,1,25,156.735,0,56.88333333333333
22,0,34,3,238,1,79,2,1,1,25,724.86,0,262.8333333333333
1,0,41,0,2,10,4,2,1,2,25,48.69,1,1.3333333333333333
11,1,36,0,47,36,31,3,1,2,30,246.4,1,41.88333333333333
11,0,39,0,95,7,10,2,1,1,25,310.635,0,101.8
12,0,40,2,89,9,27,3,1,1,30,232.36,0,80.33333333333333
24,0,40,4,138,159,45,3,1,1,30,1046.72,0,168.83333333333334
0,0,32,0,0,0,0,4,1,1,45,0.0,0,0.0
5,0,33,0,6,7,2,2,1,2,25,45.495,1,5.083333333333333
11,0,37,1,69,7,14,3,1,1,30,210.56,0,74.91666666666667
0,0,18,0,49,0,20,3,1,1,30,118.76,0,48.666666666666664
0,0,30,0,115,369,40,2,1,1,25,1989.81,0,120.05
8,0,41,2,156,21,51,4,1,1,45,345.025,0,192.41666666666666
3,0,33,1,97,14,22,5,1,1,55,124.23,0,113.08333333333333
11,0,40,0,31,15,13,2,1,2,25,153.945,0,31.5
5,0,30,2,114,261,29,2,2,1,25,1489.455,0,114.75
6,0,34,0,81,0,21,3,1,1,30,180.64,0,73.91666666666667
0,0,36,0,72,0,13,2,1,1,25,143.55,0,51.96666666666667
0,0,17,0,16,0,5,2,1,1,25,30.42,0,11.0
11,0,16,0,166,55,42,5,1,1,55,212.895,0,142.11666666666667
10,0,37,1,76,117,40,2,1,1,25,840.78,0,115.13333333333334
5,0,34,0,93,0,8,2,1,1,25,266.895,0,97.3
0,0,37,0,4,0,1,2,1,2,25,12.555,0,4.583333333333333
0,1,36,0,0,0,0,2,1,2,25,0.0,1,0.0
6,1,32,2,42,201,12,3,2,1,30,858.28,1,21.916666666666668
8,0,25,0,29,17,13,2,1,1,25,121.905,0,16.333333333333332
12,1,34,0,39,7,13,3,1,2,30,154.16,1,51.916666666666664
2,0,37,0,169,25,46,3,1,1,30,650.08,0,226.38333333333333
5,0,38,1,85,7,30,3,1,1,30,182.52,0,62.96666666666667
0,0,24,0,0,0,0,4,1,2,45,0.0,0,0.0
10,0,34,1,154,10,48,3,1,1,30,516.96,0,196.16666666666666
2,0,19,1,32,60,18,3,1,1,30,313.68,0,30.166666666666668
11,0,43,2,41,501,15,3,1,1,30,2148.84,0,59.666666666666664
6,0,37,1,47,43,22,3,1,1,30,242.88,0,28.75
0,0,32,0,27,6,18,3,1,2,30,51.08,0,10.833333333333334
14,0,44,3,166,26,50,4,1,1,45,363.4,0,196.16666666666666
0,0,3,0,24,193,2,2,1,1,25,1041.705,0,63.75
7,0,33,0,73,98,33,2,1,1,25,742.995,0,110.63333333333334
13,0,37,1,64,7,32,1,1,1,15,279.785,0,72.05
20,0,31,0,44,11,15,2,1,2,25,91.755,1,14.916666666666666
6,0,39,2,37,39,12,4,1,1,45,150.625,0,34.8
1,0,33,0,173,138,26,2,1,1,25,1309.185,0,252.0
0,0,22,0,30,18,64,4,1,1,45,75.825,0,20.05
0,0,34,0,33,13,20,3,1,2,30,91.52,0,15.916666666666666
0,0,31,0,15,468,5,3,1,1,30,1984.2,0,46.5
18,0,40,0,70,36,34,3,1,2,30,272.52,0,52.38333333333333
27,0,31,3,241,7,80,2,1,1,25,776.745,0,272.0
10,0,35,1,118,139,41,3,1,1,30,922.92,0,150.91666666666666
21,0,33,3,234,3,82,2,1,1,25,737.28,0,264.1666666666667
0,0,37,0,4,4,5,3,1,2,30,16.48,1,0.13333333333333333
12,0,42,3,36,495,12,4,1,1,45,1324.9,0,57.666666666666664
8,0,39,0,150,7,34,4,1,1,45,300.5,0,186.16666666666666
11,0,36,1,97,17,21,2,1,1,25,334.125,1,93.8
9,0,37,0,50,66,35,4,1,2,45,225.825,1,39.71666666666667
19,0,20,1,185,91,47,5,1,1,55,280.545,0,156.96666666666667
21,0,32,8,89,7,38,5,1,1,55,169.035,0,174.66666666666666
7,0,13,0,165,66,38,4,1,1,45,384.8,0,143.78333333333333
27,0,36,4,244,8,81,2,1,1,25,770.355,0,267.9166666666667
4,0,33,0,89,0,11,2,1,1,25,270.315,0,98.63333333333334
4,0,27,1,36,193,11,2,2,1,25,929.295,0,21.916666666666668
21,0,36,8,93,1,42,5,1,1,55,159.42,0,173.91666666666666
13,1,35,0,92,0,20,2,1,1,25,260.775,1,95.05
4,0,34,0,170,111,24,2,1,1,25,1185.075,0,251.08333333333334
7,0,38,0,51,6,17,3,1,1,30,105.76,0,33.21666666666667
7,0,28,0,17,37,8,4,1,2,45,125.925,0,22.0
0,0,33,0,17,0,1,3,1,1,30,60.2,0,24.8
9,0,27,0,24,1,4,2,1,2,25,28.53,0,8.5
3,0,38,1,5,5,4,3,1,1,30,27.92,1,3.216666666666667
9,0,35,0,95,6,13,2,1,1,25,311.31,0,103.71666666666667
11,0,32,1,115,136,42,3,1,1,30,913.2,0,151.91666666666666
10,0,37,0,37,7,3,3,1,2,30,137.28,1,44.916666666666664
4,0,36,0,52,166,20,2,1,1,25,865.89,0,43.166666666666664
25,0,31,3,238,0,80,2,2,1,25,734.085,0,267.9166666666667
10,0,15,0,170,64,37,4,1,1,45,382.8,0,145.7
5,0,40,0,50,11,19,3,1,2,30,126.52,0,33.55
11,0,35,0,44,11,16,3,1,2,30,175.16,1,53.916666666666664
0,0,32,0,48,0,27,1,1,1,15,119.955,0,35.55
0,0,3,0,28,200,7,2,1,1,25,1085.085,0,68.08333333333333
3,0,37,3,116,272,32,2,2,1,25,1528.92,0,111.0
0,0,31,0,27,270,15,3,1,1,30,1163.28,0,34.25
0,1,7,0,14,2,8,2,1,1,25,71.37,1,22.866666666666667
15,0,23,5,57,46,22,4,1,1,45,195.35,0,52.61666666666667
0,0,36,0,8,0,7,2,1,2,25,34.56,0,12.666666666666666
20,0,42,3,135,162,50,3,1,1,30,1037.4,0,160.0
2,0,42,0,13,18,9,2,1,2,25,103.995,0,8.3
6,0,35,2,100,19,24,5,1,1,55,132.675,0,114.08333333333333
0,0,34,0,0,0,0,2,1,2,25,0.0,0,0.0
2,0,41,2,10,12,3,5,1,1,55,23.22,0,5.633333333333334
6,1,8,2,17,7,4,3,1,1,30,93.2,1,26.883333333333333
30,0,38,1,109,29,59,5,1,1,55,215.235,0,189.0
7,0,34,0,174,139,25,2,1,1,25,1322.055,0,255.08333333333334
32,0,33,4,245,16,85,2,2,1,25,828.675,0,276.1666666666667
29,0,36,3,229,51,30,3,1,1,30,827.76,0,256.0833333333333
0,0,3,0,7,0,4,2,1,1,25,53.505,1,19.7
2,0,31,0,30,16,24,3,1,2,30,136.52,1,29.716666666666665
16,0,35,8,93,26,44,5,2,1,55,194.07,0,170.75
5,1,38,0,6,7,2,3,1,2,30,40.44,1,5.083333333333333
13,0,36,1,58,355,21,3,1,1,30,1525.44,0,42.96666666666667
9,0,41,2,51,324,24,4,1,1,45,880.775,0,46.333333333333336
7,0,12,0,159,34,34,4,1,1,45,301.8,0,141.88333333333333
8,0,44,1,68,17,39,2,1,1,25,198.945,0,44.21666666666667
0,0,35,0,7,34,6,4,1,2,45,96.125,1,7.3
14,1,17,1,138,83,42,1,2,1,15,802.23,0,102.46666666666667
5,0,32,1,6,7,2,5,1,1,55,15.165,1,5.083333333333333
8,0,39,4,122,279,34,3,2,1,30,1399.48,0,116.08333333333333
6,0,34,1,91,7,8,3,1,1,30,270.16,0,99.38333333333334
20,0,29,0,41,38,24,3,1,2,30,217.84,0,26.75
2,0,29,0,32,19,28,3,1,2,30,155.8,1,32.71666666666667
19,0,37,2,109,34,24,2,1,1,25,451.665,0,108.8
0,1,30,0,0,0,0,2,1,2,25,0.0,1,0.0
2,0,29,0,18,32,8,4,1,2,45,105.575,0,16.75
29,1,40,10,102,13,46,5,2,1,55,183.03,0,180.0
2,0,31,0,144,0,41,3,1,1,30,453.96,0,186.75
4,0,28,0,69,19,28,3,1,1,30,214.96,0,56.75
10,0,40,2,88,0,24,3,1,1,30,188.72,0,77.16666666666667
2,0,35,2,90,200,39,3,1,1,30,1075.4,0,113.25
9,0,38,1,172,7,44,3,1,1,30,595.6,0,233.63333333333333
16,0,42,1,196,168,37,2,1,1,25,1483.47,0,266.1666666666667
12,0,35,0,42,30,28,4,1,2,45,135.875,1,39.88333333333333
5,0,22,1,35,22,64,4,1,1,45,96.2,0,26.883333333333333
2,0,37,0,15,9,14,2,1,2,25,89.1,0,17.75
9,0,15,0,134,69,37,1,2,1,15,711.205,0,98.28333333333333
8,0,41,1,79,116,41,2,1,1,25,825.84,0,111.21666666666667
1,0,37,0,95,32,14,3,1,1,30,360.92,0,95.46666666666667
7,0,36,1,62,7,31,2,1,1,25,152.1,0,43.63333333333333
4,0,36,0,12,21,17,3,1,2,30,113.8,1,12.216666666666667
5,0,33,0,10,7,7,2,1,2,25,73.35,0,15.333333333333334
13,0,35,0,66,0,36,1,1,1,15,251.295,0,75.05
6,0,30,0,109,129,40,3,1,1,30,872.76,0,146.83333333333334
33,0,42,5,234,66,36,3,2,1,30,893.56,0,258.4166666666667
0,0,35,0,66,0,23,3,1,1,30,142.64,0,58.333333333333336
12,0,15,0,171,73,40,4,1,1,45,410.1,0,148.88333333333333
10,0,34,0,95,21,22,2,1,1,25,357.885,1,95.96666666666667
28,1,39,0,57,31,23,3,1,2,30,174.88,1,20.25
3,0,34,0,50,170,21,2,1,1,25,889.65,0,45.333333333333336
5,0,34,1,35,277,14,3,1,1,30,1205.6,0,40.083333333333336
5,0,32,1,6,7,2,3,1,1,30,40.44,0,5.083333333333333
5,0,39,0,20,7,13,2,1,2,25,85.5,0,19.666666666666668
20,0,25,2,228,0,74,2,1,1,25,721.935,0,263.5833333333333
0,1,30,0,0,0,0,5,1,1,55,0.0,1,0.0
11,0,38,2,179,21,59,3,1,1,30,666.08,0,239.55
5,0,38,0,8,7,4,3,1,2,30,45.84,1,7.3
29,0,31,5,248,21,95,2,1,1,25,856.035,0,277.9166666666667
2,0,10,1,37,14,13,3,1,1,30,156.2,0,41.13333333333333
3,0,37,0,127,384,43,2,1,1,25,2071.575,0,125.13333333333334
0,0,27,1,104,256,30,2,2,1,25,1456.38,0,111.0
4,0,31,0,47,167,22,2,1,1,25,878.715,0,46.333333333333336
19,0,31,2,34,22,11,3,1,1,30,131.96,0,17.75
3,0,39,0,34,267,20,3,1,1,30,1147.56,0,32.583333333333336
0,0,34,0,19,0,14,3,1,1,30,104.56,0,43.25
8,0,10,2,51,223,10,3,1,1,30,1098.04,0,85.0
16,1,40,0,55,27,23,3,1,2,30,249.2,1,57.916666666666664
14,0,15,1,174,75,40,5,1,1,55,252.78,0,152.96666666666667
3,0,34,0,14,0,12,2,1,2,25,53.73,0,19.666666666666668
11,0,38,1,82,32,28,3,1,1,30,282.28,0,62.916666666666664
21,0,28,2,49,34,15,2,1,1,25,256.005,0,37.333333333333336
